time_step,acceleration
0,-0.007769
0.002,-0.006032
0.004,-0.004064
0.006,-0.001658
0.008,0.000834
0.01,0.003356
0.012,0.00569
0.014,0.00769
0.016,0.009323
0.018,0.010492
0.02,0.010928
0.022,0.010783
0.024,0.009984
0.026,0.008628
0.028,0.00685
0.03,0.004562
0.032,0.002007
0.034,-0.000593
0.036,-0.003028
0.038,-0.005229
0.04,-0.007131
0.042,-0.008479
0.044,-0.009265
0.046,-0.009335
0.048,-0.008855
0.05,-0.007718
0.052,-0.005984
0.054,-0.003928
0.056,-0.001493
0.058,0.000955
0.06,0.00345
0.062,0.00581
0.064,0.007826
0.066,0.009396
0.068,0.010483
0.07,0.010909
0.072,0.010739
0.074,0.009905
0.076,0.008546
0.078,0.006714
0.08,0.004512
0.082,0.001969
0.084,-0.000584
0.086,-0.003142
0.088,-0.005394
0.09,-0.007232
0.092,-0.008454
0.094,-0.009288
0.096,-0.009404
0.098,-0.008741
0.1,-0.007538
0.102,-0.005953
0.104,-0.003824
0.106,-0.001455
0.108,0.001059
0.11,0.003602
0.112,0.005908
0.114,0.007924
0.116,0.009396
0.118,0.010499
0.12,0.01102
0.122,0.010799
0.124,0.009917
0.126,0.008512
0.128,0.006603
0.13,0.004335
0.132,0.001868
0.134,-0.000786
0.136,-0.003249
0.138,-0.005409
0.14,-0.007295
0.142,-0.008533
0.144,-0.009209
0.146,-0.009329
0.148,-0.008754
0.15,-0.00762
0.152,-0.005902
0.154,-0.003789
0.156,-0.001348
0.158,0.001188
0.16,0.003665
0.162,0.005984
0.164,0.007946
0.166,0.009548
0.168,0.010546
0.17,0.010925
0.172,0.010736
0.174,0.009883
0.176,0.008398
0.178,0.006651
0.18,0.0043
0.182,0.00176
0.184,-0.000868
0.186,-0.003353
0.188,-0.005564
0.19,-0.007292
0.192,-0.008624
0.194,-0.00942
0.196,-0.009385
0.198,-0.008694
0.2,-0.007497
0.202,-0.005735
0.204,-0.003612
0.206,-0.001231
0.208,0.001286
0.21,0.003782
0.212,0.006016
0.214,0.008034
0.216,0.009611
0.218,0.010612
0.22,0.010995
0.222,0.010704
0.224,0.009835
0.226,0.008376
0.228,0.006404
0.23,0.004142
0.232,0.001618
0.234,-0.000944
0.236,-0.003458
0.238,-0.005552
0.24,-0.007415
0.242,-0.008624
0.244,-0.009265
0.246,-0.009348
0.248,-0.008628
0.25,-0.007519
0.252,-0.005662
0.254,-0.003559
0.256,-0.001108
0.258,0.001413
0.26,0.003959
0.262,0.006243
0.264,0.008069
0.266,0.009564
0.268,0.01065
0.27,0.010909
0.272,0.010796
0.274,0.009791
0.276,0.008319
0.278,0.006395
0.28,0.004082
0.282,0.001485
0.284,-0.001118
0.286,-0.003578
